Título;Autores;Afiliaciones;Resumen;Palabras Clave;Fecha de Publicación;Revista/Publicación;DOI
Water Meter Reading Based on Text Recognition Techniques and Deep Learning;Bay Nguyen Van, Anh Nguyen, Kiet Tran Trung, Thien Ho Huong, Ha Duong Thi Hong, Hau Nguyen Trung, Vinh Truong Hoang;"FPT University, Vietnam; Ho Chi Minh City Open University, Vietnam";Propone un enfoque de dos pasos para la lectura automática de medidores de agua (AMR) utilizando Redes Neuronales Convolucionales (CNNs), específicamente YOLOv8 para la detección de la región del contador y una evaluación de seis técnicas basadas en CNN para el reconocimiento de dígitos. ;automated meter reading, energy management, consumption data collection, digit recognition, deep learning, OCR, Optical Character Recognition ;3 de marzo de 2025;IEEE Access;10.1109/ACCESS.2025.3547225
Low-Cost Smart Metering Using Deep Learning;Farhan Khan, Sarmad Rafique, Gul Muhammad Khan;University of Engineering and Technology Peshawar, Pakistán ;Presenta un sistema novedoso que utiliza el modelo YOLOv8 para detectar pantallas de medidores a distancia y un Paddle OCR afinado para reconocer las lecturas de medidores de electricidad, gas y agua.;Yolo-v8, Paddle OCR, Meter Detection, Automatic Meter Recognition, Low-cost Smart Metering ;22 de mayo de 2024;International Journal of Innovations in Science & Technology (IJIST);No encontrado
Automatic Meter Detection and Recognition: A Robust Approach Based on Image Processing Techniques;Unnati Maheshwari, Kundan Kumar Singh;NMIMS University, India ;Propone un sistema de AMR que utiliza un clasificador SSD ResNet pre-entrenado para la detección de medidores y un modelo generado a partir de Tesseract y Leptonica para el reconocimiento de dígitos en medidores eléctricos.;Automatic Meter Reading, Meter detection, Meter recognition, Image processing ;Junio de 2023;International Journal for Research in Applied Science & Engineering Technology (IJRASET);10.22214/ijraset.2023.54438
Image-Based Automatic Watermeter Reading under Challenging Environments;Qingqi Hong, Yiwei Ding, Jinpeng Lin, Meihong Wang, Qingyang Wei, Xianwei Wang, Ming Zeng;"Xiamen University, China; University of Science and Technology Beijing, China ";Propone un pipeline completo para leer automáticamente medidores de agua a partir de una sola imagen utilizando aprendizaje profundo, desglosando la tarea en subtareas para manejar entornos desafiantes. ;watermeter reading, automatic method, neural network, deep learning ;9 de enero de 2021;Sensors;10.3390/s21020434
Research on water meter reading recognition based on deep learning;Yue Liang, Yiqi Liao, Shaobo Li, Wenjuan Wu, Taorong Qiu, Weiping Zhang;Nanchang University, China ;Estudia un método de aprendizaje profundo para la detección y el reconocimiento automáticos de las lecturas de los medidores de agua, comparando los modelos Faster R-CNN, SSD y YOLOv3.;Deep learning, water meter reading, object detection, Faster R-CNN, SSD, YOLOv3;27 de julio de 2022;Scientific Reports;10.1038/s41598-022-17255-3
Deep learning-based autonomous real-time digital meter reading recognition method for natural scenes;Jianqing Peng, Wei Zhou, Yu Han, Mengtang Li, Wanquan Liu;Sun Yat-sen University, China ;Propone un método basado en aprendizaje profundo para la lectura autónoma y en tiempo real de medidores digitales en escenas naturales, introduciendo métodos de estilo YOLO para la detección de puntos de esquina y el reconocimiento de lecturas.;Digital meter reading, Autonomous recognition, Deep learning, Perspective transformation, Keypoint detection ;4 de octubre de 2023;Measurement;10.1016/j.measurement.2023.113615
Image-Based Automatic Dial Meter Reading in Unconstrained Scenarios;Gabriel Salomon, Rayson Laroca, David Menotti;Federal University of Paraná (UFPR), Brasil ;Propone nuevos enfoques para la Lectura Automática de Medidores de Dial (ADMR) en escenarios no controlados e introduce un nuevo conjunto de datos, UFPR-ADMR-v2.;Automatic Meter Reading, Dial Meters, Pointer-type Meters, Deep Learning, Public Dataset ;23 de octubre de 2022 (arXiv);Measurement;10.1016/j.measurement.2022.112025
Deep Learning-Powered System for Real-Time Digital Meter Reading on Edge Devices;Rafaela Carvalho, Jorge Melo, Ricardo Graça, Gonçalo Santos, Maria João M. Vasconcelos;"Fraunhofer Portugal AICOS, Portugal; Glarevision, S.A., Portugal ";Propone una solución basada en aprendizaje profundo para automatizar la lectura de controladores universales y medidores de flujo en dispositivos de borde.;deep learning, automatic meter reading, autonomous measurement, edge computing, industrial intelligence ;10 de febrero de 2023;Applied Sciences;10.3390/app13042315
Towards Image-Based Automatic Meter Reading in Unconstrained Scenarios: A Robust and Efficient Approach;Rayson Laroca, Alessandra B. Araujo, Luiz A. Zanlorensi, Eduardo C. De Almeida, David Menotti;Federal University of Paraná, Brasil ;Presenta un enfoque de extremo a extremo para AMR en escenarios no controlados, con una nueva etapa para la detección de esquinas y clasificación del contador para permitir la rectificación y el rechazo de medidores ilegibles.;Computer vision, image-based automatic meter reading, unconstrained scenarios ;4 de mayo de 2021;IEEE Access;10.1109/ACCESS.2021.3077415
Automation of water meter billing process based on digital image processing approach;Sudipto Chaki, Dipu Akter Shila, Nafsin Jahan;Bangladesh University of Business & Technology, Bangladesh ;Propone un modelo de reconocimiento automático de lectura de medidores de agua en tiempo real desde diferentes condiciones ambientales utilizando un enfoque de procesamiento de imágenes digitales.;Horizontal & vertical projection, Hough transform, Correlation coefficient, Otsu threshold, Masked image, Projection profile ;31 de octubre de 2019;Journal of Advances in Technology and Engineering Research;10.20474/jater-5.5.3
Deployment framework for the Internet of water meters using computer vision on ARM platform;Gaubert V. Santiago, Alberto J. Alvares;University of Brasilia, Brasil ;Presenta un nuevo método desarrollado en Python para automatizar el proceso de lectura de medidores de agua con pantalla analógica utilizando visión por computadora y aprendizaje automático en una plataforma ARM.;ARM platform, computer vision, internet of things, machine learning, water meter ;2020;Journal of Ambient Intelligence and Smart Environments;10.3233/AIS-200544
Lightweight AI Framework for Industry 4.0 Case Study: Water Meter Recognition;Jalel Ktari, Tarek Frikha, Monia Hamdi, Hela Elmannai, Habib Hmam;"Sfax University, Túnez; Princess Nourah bint Abdulrahman University, Arabia Saudita; Université de Moncton, Canadá; y otras ";Se enfoca en los paradigmas de Industria 4.0 y Smart City y propone un nuevo enfoque para monitorear y rastrear el consumo de agua usando OCR y el modelo de aprendizaje automático YoLo 4.;water meter, consumption, IA, character recognition, predicted consumption, real time ;1 de julio de 2022;Big Data and Cognitive Computing;10.3390/bdcc6030072
Measurement of Water Consumption based on Image Processing;Ondrej Kainz, Rastislav Petija, Miroslav Michalko, Frantisek Jakab, Matus Dujava;Technical University of Kosice, Eslovaquia ;Propone una solución para la recolección visual automatizada de datos de consumo de agua y el procesamiento posterior de los datos extraídos para detectar situaciones no estándar.;image processing, non-standard situations detection, water leaks ;21-23 de enero de 2021;2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI);10.1109/SAMI50585.2021.9378611
Generative Data Augmentation for Automatic Meter Reading Using CNNs;Nuntida Sripanuskul, Prawit Buayai, Xiaoyang Mao;"University of Yamanashi, Japón; Hangzhou Dianzi University, China ";Propone una nueva técnica de aumento de datos que puede generar automáticamente imágenes anotadas de números, incluyendo los estados de transición, para resolver problemas de datos de entrenamiento insuficientes.;Automatic meter reading, image data augmentation, generative neural network, object detection and recognition ;8 de marzo de 2022;IEEE Access;10.1109/ACCESS.2022.3157706
Water Meter Reading Recognition Based on Lightweight CNN;Fumin Zou, Zhimeng Shi, Zhenhua Gan, Lvchao Liao, Jiamin Xu;Fujian University of Technology, China;Propone un modelo de red neuronal convolucional ligera para mejorar la precisión del reconocimiento de lecturas en imágenes de medidores de agua, optimizando la detección y clasificación de dígitos con menor complejidad.;water meter reading, lightweight CNN, digit recognition, deep learning;mayo de 2021;International Conference on Frontiers of Electronics, Information and Computation Technologies (ICFEICT 2021);10.1145/3474198.3478237
Water Meter Reading Recognition Based on Deep Learning;Yuhao Shen, Xiangqian Wang, Minghong Yin;Anhui University, China;Aborda la extracción de la región numérica y el reconocimiento de las lecturas en medidores de esfera mediante técnicas de aprendizaje profundo, mejorando la precisión de lectura en escenarios reales.;deep learning, dial-type meter, text region extraction, OCR;15-17 de septiembre de 2023;2nd International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2023);10.1145/3625403.3625409
CAM-YOLO v8: A model for water meter word wheel region segmentation;Hongjuan Wang, Nan Wang, Xinjun An;"Shandong University of Science and Technology, China; y otras";Propone un modelo CAM-YOLO v8 (que integra atención coordinada y MobileNet) para la segmentación de la región de los dígitos (tipo rueda numérica) en medidores de agua, logrando una precisión superior al 99% en la detección de dicha región.;water meter, word-wheel, YOLOv8, segmentation, coordinate attention;21-23 de febrero de 2025;2nd International Conference on Generative Artificial Intelligence and Information Security (GAIIS 2025);10.1145/3728725.3728769
